parcel_id,development_match_strength,matched_development_area,matched_project_or_area_name,matched_project_type,matched_investment_signal_strength,development_source_url,development_source_title,development_summary,development_match_reason,development_confidence
92224-22-24-13020,Strong Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.",Street/corridor token overlap: TULSA,High
44200-02-11-04390,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
44200-02-11-05670,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
47700-02-26-09610,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
13800-02-12-02160,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
36090-03-08-00970,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
05450-02-25-27030,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
34750-02-26-08160,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
19725-03-30-11560,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
78810-84-11-09860,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
40825-02-13-08350,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
23175-03-30-13610,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
44200-02-11-03560,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
90327-03-27-26880,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
25500-03-29-06000,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
41025-02-01-04490,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
91408-14-08-10310,Strong Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.",Street/corridor token overlap: TULSA,High
53775-02-02-00220,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
23125-02-25-15350,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
40800-02-13-04700,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
07600-02-24-01200,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
44200-02-11-01790,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
44200-02-11-01470,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
29775-02-26-05550,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
16050-93-06-08050,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
09725-03-30-08040,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
37375-03-32-16320,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
44200-02-14-06630,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
44650-92-04-13070,Strong Match,Greenwood District,Greenwood District revitalization and Black Tech Street momentum,Innovation district / community development,Medium,https://partnertulsa.org/,Home - PartnerTulsa,"PartnerTulsa highlights Greenwood District revitalization and Black Tech Street as part of Tulsa’s broader commercial and community development story, suggesting continued investment and visibility in the area.",Street/corridor token overlap: ARCHER,Medium
44250-02-12-14920,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
44200-02-11-03530,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
44225-02-12-09330,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
54325-92-31-02630,Strong Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.",Street/corridor token overlap: TULSA,High
52550-92-33-05285,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
07725-02-13-02930,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
79200-84-14-04250,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
07675-02-13-01140,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
49650-03-34-13420,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
41025-02-01-06510,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
15500-03-32-04800,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
05825-03-30-01260,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
37650-02-12-04530,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
49700-03-34-14030,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
32325-92-24-04910,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
44200-02-11-01060,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
17675-02-24-07570,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
