parcel_id,ai_review_score,investment_category,manual_review_flag,recommendation,development_opportunity_flag,development_opportunity_reason,reasoning_summary,key_risks,missing_information,next_due_diligence_step,confidence_level
92224-22-24-13020,8.7,Good Investment,True,Research First,True,"Strong, high-quality match to the Tulsa Market District / NOMA residential hub along the Peoria corridor, where a 256-unit residential hub and broader walkability and commercial revitalization efforts indicate elevated investment activity.","The parcel at 15100 N PEORIA AV (Parcel 92224-22-24-13020) has a low bid cost of 3059.81 and is classified as A HS IMP, indicating an improved homesite rather than raw land. Address and property clarity are strong, and rule-based scoring (8.7) places it in the Good Investment category. A high-confidence, strong development match ties the property to the Tulsa Market District / NOMA residential hub along Peoria, where a 256-unit residential project and corridor revitalization efforts suggest improving surrounding value and potential upside. Despite some missing location details (city/ZIP), the combination of low entry cost, improvement status, and credible nearby development activity justifies prioritizing this parcel for manual review.","City and ZIP are unknown, which obscures precise neighborhood context and may affect resale or rental assumptions; tax auction status may imply title complications or property condition issues that are not visible in the data; legal description references road right-of-way adjustments (LESS E16.5 FOR RD) that require survey/title review to confirm usable acreage and access.","Exact city and ZIP code; current structure details (size, age, condition, occupancy); zoning specifics and permitted uses; utility availability and status; confirmation of exact acreage and boundaries relative to road right-of-way; any code violations or liens beyond the tax issue.","Verify precise location (city, ZIP, mapping of legal description) and confirm zoning and permitted uses, then obtain on-the-ground or recent imagery-based condition assessment of any improvements and a title report focused on tax foreclosure status, easements, and road right-of-way impacts on the 5.102-acre site.",High
44200-02-11-04390,7.2,Strong Manual Review Candidate,True,Research First,False,nan,"The parcel at 4696 N BOULDER AV W (LT 2 BLK 18, CITY OF TULSA, VALLEY VIEW ACRES) has high data confidence, a complete address, and is classified as R IMP, suggesting an improved residential property. The bid cost of 3075.02 is relatively low for an improved parcel, which supports preliminary interest. Rule-based scoring labels it a Strong Manual Review Candidate. However, strict development matching finds no clear overlap with known projects and the development signal is low, so no external upside can be assumed. The unknown ZIP and lack of surrounding value or crime data add uncertainty, warranting manual verification rather than automatic prioritization as a top-tier investment.",ZIP and precise neighborhood context are unknown; no verified nearby development or investment activity; surrounding value and crime risk are unknown; owner listed as Unknown may indicate title or notification complexities; actual condition of the improvement is completely unverified.,Exact ZIP code and neighborhood context; current physical condition of the improvements; occupancy status; detailed title history and any liens beyond tax delinquency; recent comparable sales or assessed values in VALLEY VIEW ACRES; local crime and rental/owner-occupancy patterns.,"Confirm parcel location and ZIP in county GIS, then pull assessor records and imagery to verify structure type, condition, and surrounding land use; follow with a title check for liens or encumbrances and basic market checks (recent sales, rents) within VALLEY VIEW ACRES before bidding.",Medium
44200-02-11-05670,6.7,Strong Manual Review Candidate,True,Research First,False,nan,"The parcel at 313 W 47 ST N in Tulsa is a residential improvement (R IMP) with a low bid cost of 3081.02 and high data confidence. Address and property clarity are strong, and rule-based scoring (6.7) flags it as a strong manual review candidate. However, there is no verified nearby public or private development activity, so any development-driven upside is uncertain.","ZIP code is unknown; no confirmed surrounding value or crime data; no clear strict development overlap to support appreciation; ownership details are unclear; potential condition, title, and access issues are unknown.","Exact ZIP code, neighborhood context, property condition, structure details, utilities and access, title status, and any code or lien issues are not provided.","Confirm exact location and ZIP, pull county records for structure details and title status, and review recent sales and rental data in the immediate area to validate whether the low bid cost aligns with local values.",High
47700-02-26-09610,7.2,Strong Manual Review Candidate,True,Research First,False,nan,"The parcel at 2525 N MAIN ST E in Tulsa is a residential improved property (R HS IMP) with a relatively low bid cost of 3,082.54 and high extraction/data confidence. Address and property details are clear, and rule-based scoring classifies it as a strong manual review candidate. However, strict development matching finds no clear nearby public or private investment activity, so any development upside is unsubstantiated. Overall, the combination of low entry cost and clear residential improvement justifies manual review, but without treating development as a positive factor.","Unknown ZIP code and surrounding value context; no verified development or corridor investment nearby; crime and neighborhood risk unknown; property condition, occupancy, and title status not provided; potential hidden liens or rehab costs cannot be assessed from current data.",ZIP code; neighborhood and surrounding property values; interior and exterior condition; occupancy status; title report and any additional liens; code violations; utilities status; rental or resale comparables.,"Obtain full title and lien search, confirm exact ZIP and neighborhood context, and review recent sales or rental comps near 2525 N MAIN ST E to validate value relative to the 3,082.54 bid; then verify physical condition and any code or nuisance issues with local records or a drive-by inspection.",Medium
13800-02-12-02160,7.7,Strong Manual Review Candidate,True,Research First,False,nan,"The parcel at 4726 N FRANKFORT AV E (LT 9 BLK 7, FAIRHILL 2ND ADDN, City of Tulsa) is classified as R HS IMP, indicating an improved residential property. The bid cost of 3086.51 is low relative to typical improved residential assets, which aligns with the strong bid price signal and the rule-based score of 6.7, categorized as a Strong Manual Review Candidate. Address and property clarity are strong, and extraction confidence is high, reducing basic data risk. However, strict development matching finds no clear overlap with known projects or targeted investment areas, and the development signal is low, so this should not be treated as a development-driven appreciation play. Overall, the combination of low entry cost and improved residential status justifies manual review, but with tempered expectations on external growth drivers.","ZIP code is unknown, limiting precise neighborhood and comp alignment; no clear strict development overlap or documented nearby public/private investment to support outsized appreciation; surrounding value and crime risk are unknown; owner name is unknown, which may signal additional title or notification complexity; development match quality is low, so relying on area growth assumptions would be speculative.","Exact ZIP code; detailed property condition; structure details (square footage, year built, bed/bath count); occupancy status; title report and any additional liens or encumbrances beyond the tax issue; neighborhood-level indicators such as rents, vacancy, and crime; any local code enforcement or demolition orders.","Confirm physical condition and occupancy via drive-by or recent imagery, obtain a title search for additional liens or legal complications, and verify local code or nuisance issues; then estimate conservative as-is value and rent potential to determine whether the low bid cost provides sufficient margin without relying on speculative development upside.",High
36090-03-08-00970,7.2,Strong Manual Review Candidate,True,Research First,False,nan,"The property at 4721 N BIRMINGHAM PL E in Tulsa is a residential improvement (R IMP) with a relatively low bid cost of 3087.69 and high extraction/data confidence. Address and parcel details are clear, and rule-based scoring marks it as a strong manual review candidate. However, there is no confirmed nearby public or private development activity (development_match_strength is No Clear Match with low quality), so any development-driven upside is unsubstantiated. Overall, the combination of low entry cost and clear residential status justifies manual review, but not classification as a strong or development-driven investment.",ZIP code is unknown; no verified surrounding value or crime risk data; no clear strict development overlap or documented investment activity; development signal is low; upside case relies mainly on low acquisition cost rather than confirmed area improvements.,Exact ZIP code; current property condition; occupancy status; detailed neighborhood characteristics; surrounding property values and market demand; crime and code enforcement history; any pending liens or legal issues beyond tax status.,"Manually confirm the exact location and ZIP, then obtain recent imagery or on-the-ground photos to assess structure condition and occupancy; follow with a title and lien check to identify any non-tax encumbrances.",Medium
05450-02-25-27030,6.7,Strong Manual Review Candidate,True,Research First,False,nan,"The parcel at 610 E YOUNG PL N in Tulsa is a residential improvement property with a complete address and high data confidence. The bid cost of 3089.69 is flagged as a strong positive pricing signal, and the rule-based system classifies it as a strong manual review candidate. However, strict development matching found no clear overlapping project or corridor, and the development signal is low, so any appreciation from nearby investment cannot be assumed.","Unknown ZIP code; absence of verified surrounding value or development activity; no clear strict development overlap; potential neighborhood, condition, or title issues not visible in the auction data.",Exact ZIP code; details on structure condition and occupancy; neighborhood crime and value trends; confirmation of utilities and access; any liens or encumbrances beyond tax status.,"Manually verify the exact location and ZIP, inspect or obtain recent imagery of the improvement, and pull local sales and rent comps for the immediate area around 610 E YOUNG PL N to assess neighborhood quality and realistic exit value.",High
34750-02-26-08160,7.2,Strong Manual Review Candidate,True,Research First,False,nan,"The parcel at 2507 N MAIN ST E in Tulsa is a residential improvement (R IMP) with a relatively low bid cost of 3097.02 and high extraction/data confidence. Address and property clarity are strong, and rule-based scoring flags it as a strong manual review candidate. However, strict development matching finds no clear nearby public or private investment projects, and development signal is low, so any upside must be evaluated on property-level and neighborhood fundamentals rather than confirmed development catalysts.",Unknown ZIP and neighborhood context; no clear overlapping development projects to support appreciation; partial lot description may indicate irregular or non-standard lot configuration; owner listed as unknown may signal title or notification complexities; surrounding value and crime risk are unknown.,"Exact ZIP code; neighborhood and block-level context; structure details (unit count, condition, year built, square footage); occupancy status; title status and any additional liens; zoning specifics; recent comparable sales or assessed values; local crime and code enforcement history.","Manually confirm parcel boundaries and improvements via county GIS and street imagery, then pull title, zoning, and any lien/code records to verify that the low bid cost is not offset by structural, legal, or neighborhood risks.",High
19725-03-30-11560,7.2,Strong Manual Review Candidate,True,Research First,False,nan,"The parcel at 1743 E YOUNG PL N in Tulsa is a residential improvement (R IMP) with a relatively low bid cost of 3098.35 and high extraction/data confidence. Address and property clarity are strong, and rule-based scoring categorizes it as a Strong Manual Review Candidate. However, there is no clear strict development match and development signal is low, so any value-add from nearby public or private investment cannot be substantiated from the provided data.",Unknown ZIP code; no verified surrounding value or crime risk data; no clear development or corridor overlap; development signal is low; ownership details limited to 'Unknown' in the provided data.,Exact ZIP code; detailed neighborhood context; condition and specifics of the residential improvement; surrounding property values and market demand; crime and school data; any liens or title complications beyond tax status.,"Manually confirm the exact location and ZIP, inspect the physical condition of the improvement, pull comparable sales/rents in the immediate area, and run a title and lien check to validate that the low bid cost is not offset by hidden encumbrances.",Medium
78810-84-11-09860,7.2,Strong Manual Review Candidate,True,Research First,False,nan,"The parcel at 514 E DALLAS ST S in Broken Arrow is a residential improved property (R HS IMP) with a bid cost of 3103.20 against an indicated value of 14,000. Address and parcel data are clear and extraction confidence is high. Rule-based scoring (6.7) already flags it as a strong manual review candidate, driven mainly by low entry cost and strong property clarity rather than any verified development activity. The absence of a ZIP and any credible development match limits confidence in broader upside, but the basic numbers and data quality justify closer human review.","Unknown ZIP and surrounding value context; no confirmed public or private development activity nearby; ownership details unclear; actual physical condition, occupancy, and title status are unknown; crime and neighborhood risk are not provided.","ZIP code; detailed property characteristics (square footage, year built, condition, occupancy); neighborhood and comp values; title status and liens beyond tax; any zoning or code enforcement issues; crime and school context.","Pull county assessor and recorder records for this parcel to confirm structure details, ownership chain, liens, and any code or zoning issues, then verify neighborhood values and physical condition via maps or drive-by before bidding.",Medium
40825-02-13-08350,6.7,Strong Manual Review Candidate,True,Research First,False,nan,"The parcel at 4355 N GARRISON AV E in Tulsa is a residential improvement (R IMP) with a relatively low bid cost of 3109.68 and high extraction confidence, and the address and property details are clear. Rule-based scoring flags it as a strong manual review candidate. However, strict development matching finds no clear nearby public or private investment activity, and the development signal is low, so any appreciation from area projects is not supported by the provided data.",Unknown ZIP code and surrounding value; no clear strict development overlap or documented investment activity; development signal is low; owner name unknown; broader neighborhood conditions and crime risk are not provided.,"ZIP code, detailed neighborhood context, surrounding property values, occupancy/condition of the improvement, title issues, and any confirmed nearby public or private projects.","Manually verify the exact location and ZIP, confirm physical condition and occupancy status of the residential improvement, and check local records for any unlisted infrastructure or redevelopment plans affecting Suburban Acres Second.",High
23175-03-30-13610,7.2,Strong Manual Review Candidate,True,Research First,False,nan,"The parcel at 2526 N QUAKER AV E in Tulsa is a residential improvement (R IMP) lot in the City of Tulsa, Lincoln Heights, with a relatively low bid cost of 3115.02 and high extraction/data confidence. Address and legal description are clear (LT 6 BLK 4), and the rule-based system flags it as a strong manual review candidate. However, strict development matching finds no clear nearby public or private investment activity, and ZIP information is missing, so any appreciation from area development cannot be substantiated from the provided data.","No clear development overlap or documented investment activity; ZIP code unknown, limiting neighborhood-level risk and value assessment; owner listed as unknown; surrounding value and crime risk are both unknown; development signal explicitly low.",ZIP code; detailed neighborhood and market context; structure condition and occupancy; surrounding property values and comps; title status and any additional liens; code enforcement or demolition history; crime and school data.,"Confirm exact ZIP and neighborhood context for 2526 N QUAKER AV E, then pull county records and mapping data to verify structure condition, occupancy, liens, and any local planning or redevelopment initiatives affecting Lincoln Heights before bidding.",Medium
44200-02-11-03560,6.7,Strong Manual Review Candidate,True,Research First,False,nan,"The parcel at 4690 N BOSTON AV E is a residential improvement (R IMP) lot with a relatively low bid cost of 3117.68 and high data confidence, which supports preliminary interest. Address and property details are clear, and the rule-based system flags it as a strong manual review candidate. However, there is no confirmed development overlap or identified surrounding value signal, and the ZIP code is unknown, limiting assessment of neighborhood and market dynamics. Overall, it merits manual review on pricing and clarity grounds, but lacks documented development-driven upside.",Unknown ZIP and neighborhood context; no clear strict development or investment activity nearby; property condition is unknown despite being classified as an improvement; surrounding value and crime risk are unknown; ownership listed as Unknown may indicate potential title or notification complexities.,"Exact ZIP code; neighborhood and market context; property physical condition and occupancy status; structure details (size, age, configuration); any code violations or liens beyond the tax issue; confirmation of clear title; recent comparable sales or rental data in the immediate area.","Confirm the precise location and ZIP, then pull county records for structure details, liens, and code issues; obtain recent sales and rent comps in the immediate vicinity; and, if feasible, conduct a drive-by or photo-based condition check before assigning a final investment rating.",High
90327-03-27-26880,7.2,Strong Manual Review Candidate,True,Research First,False,nan,"The parcel at 2011 N YALE AV E in Tulsa is classified as C IMP with a reported value of 35,483 and a relatively low bid cost of 3,120.35, which is a favorable cost-to-value signal. Address quality and property clarity are strong, and data confidence is high, making the asset identifiable and researchable. The rule-based system scores it 6.7 and flags it as a Strong Manual Review Candidate, mainly due to the attractive bid price and clear property data. However, there is no reliable strict development match, the ZIP code and surrounding value context are unknown, and no crime or neighborhood risk estimates are available, so upside from area investment cannot be assumed.","Unknown ZIP and neighborhood context; no verified surrounding value or crime risk data; no clear strict development overlap or documented public/private investment nearby; commercial improvement status may imply condition, code, or use issues that are not visible from the data; legal description is non-standard and may require survey or title review to confirm boundaries.","ZIP code; detailed property characteristics (building size, age, condition, current or prior use); zoning and permitted uses; confirmation that the C IMP classification reflects an existing usable structure; neighborhood and corridor context along N Yale Ave; any liens, code violations, or environmental issues; recent sales or assessed values of nearby parcels.","Manually verify the parcel’s exact location and ZIP, then pull county records and mapping (aerials, street view, zoning maps) to confirm that a commercial improvement exists, assess physical condition and access along N Yale Ave, and check for code issues or liens before considering a bid level relative to the 35,483 value figure.",Medium
25500-03-29-06000,7.2,Strong Manual Review Candidate,True,Research First,False,nan,"The parcel at 1831 N BIRMINGHAM PL E in Tulsa is a residential improvement (R IMP) with a reported lot size of 9,648 and a relatively low bid cost of 3,123.68, which aligns with the strong bid price signal and strong property clarity signal. Address quality is complete and data confidence is high, supporting reliable basic identification of the asset. However, strict development matching shows no clear match and low quality, so there is no evidence-based development or revitalization catalyst to elevate this beyond a standard value play. The strong rule-based score (6.7) and low entry price justify manual review, but not classification as a strong or development-driven investment.","Unknown ZIP code limits precise neighborhood and comp context; no verified surrounding development or public/private investment activity; development signal is low with no clear strict match; crime and surrounding value signals are unknown; ownership details are limited (owner name unknown), which may complicate title or notification history review.","Exact ZIP code; neighborhood and market context (rents, sales comps, vacancy); structure details for the residential improvement (unit count, condition, year built, square footage); zoning specifics; code enforcement or nuisance history; tax/assessment history beyond the bid amount; utility status and access; any nearby planned or ongoing development projects.","Confirm the precise location and ZIP, pull county assessor and GIS records for structure details and zoning, and review code enforcement and tax history to assess condition and legal risk before considering a bid at or above 3,123.68.",High
41025-02-01-04490,6.7,Strong Manual Review Candidate,True,Research First,False,nan,"The parcel at 543 E 59 PL N (LT 10 BLK 4, SUBURBAN HILLS ADDN, City of Tulsa) is a residential improvement property with a relatively low bid cost of 3123.68 and high data confidence. Address and property clarity are strong, and rule-based scoring categorizes it as a strong manual review candidate. However, there is no clear strict development overlap and development signal is low, so any appreciation from nearby projects cannot be relied upon at this stage.","ZIP code is unknown; no verified public or private development activity tied to this specific area; development match quality is low with no clear match; surrounding value and crime risk are unknown; owner name is unknown, which may complicate title or redemption research.",Exact ZIP code; detailed neighborhood and market context; confirmation of structure condition and occupancy; title status and any liens beyond taxes; verification of surrounding property values and crime risk; any local planning or infrastructure projects not captured in the strict development data.,"Confirm the precise ZIP and map the parcel within Tulsa to assess neighborhood context, then pull county records for title, liens, and structure details, followed by a drive-by or photo review to verify actual property condition and surrounding land use.",High
91408-14-08-10310,6.5,Strong Manual Review Candidate,True,Research First,False,Weak match removed; previous match was based on generic location wording.,"The parcel at 11702 E 116 ST N has a low bid cost of 3139.44, clear legal description, and complete address, which supports preliminary interest. Rule-based scoring classifies it as a strong manual review candidate. However, there is no valid strict development match and no confirmed surrounding value or ZIP, so any development upside is unsubstantiated and the property should not be treated as a high-confidence investment without further checks.",No clear development overlap or verified nearby investment activity; ZIP and precise market context are unknown; surrounding value and crime risk are not provided; development_match_warning indicates that earlier development linkage was a weak generic Tulsa reference and should not be relied upon.,"Exact ZIP code, detailed zoning/land use, access and utilities status, surrounding property values, and any verified public or private projects in the immediate area are not provided.","Manually verify zoning and permitted uses for the legal description in SEC 8 21 14, confirm physical access and utilities at 11702 E 116 ST N, and check local sales or assessed values for comparable nearby parcels to validate whether the low bid cost reflects opportunity or underlying issues.",High
53775-02-02-00220,7.2,Strong Manual Review Candidate,True,Research First,False,nan,"The parcel at 6105 N MAIN ST E in Tulsa is a residential improved property (R HS IMP) with a relatively low bid cost of 3140.32 and high extraction confidence, indicating clear basic property data. Rule-based scoring (6.7) and the Strong Manual Review Candidate category support further human review. However, strict development matching finds no clear project or corridor overlap and low development signal, so any value-add from public or private investment cannot be assumed. The unknown ZIP is a minor data gap but does not negate the strong address and parcel clarity.","No confirmed surrounding development or investment activity; ZIP code unknown; development match strength is No Clear Match with low quality; surrounding value and crime risk are both unknown, limiting context for neighborhood desirability and risk.","Exact ZIP code; current physical condition of improvements; occupancy status; detailed neighborhood context (surrounding values, crime, and amenities); title status and any liens beyond tax; zoning confirmation and any code enforcement issues.","Verify parcel location and ZIP via county GIS, then obtain recent exterior imagery or drive-by inspection to assess structure condition and neighborhood context, followed by a title and lien check with Tulsa County records.",High
