parcel_id,final_ai_review_score,final_investment_category,final_manual_review_flag,final_recommendation,final_development_opportunity_flag,final_development_opportunity_reason,final_reasoning_summary,final_key_risks,final_missing_information,final_next_due_diligence_step,final_confidence_level
37650-02-12-04530,6.9,Strong Manual Review Candidate,True,Research First,False,nan,"The rule-based score of 6.9 and category Strong Manual Review Candidate reflect a relatively attractive bid cost of 3271.21 for a residential improvement (R IMP) parcel at 868 E 52 PL N, supported by complete address quality, strong property clarity, and high overall data confidence. However, the development verification shows No Clear Match with low confidence and no distance-based confirmation, so development is not a positive factor. These mixed signals support manual review rather than an automatic buy or rejection.",ZIP is unknown; no verified development or surrounding value signal; crime risk is unknown; geocode confidence is only medium.,Exact ZIP code; any verified nearby development or value comps; crime and neighborhood risk indicators; detailed property condition and improvement specifics beyond R IMP classification.,"Manually confirm the full address and ZIP for 868 E 52 PL N, then check local records or mapping tools for surrounding property values, neighborhood conditions, and any nearby development activity before refining the bid strategy.",High
38575-03-28-12560,6.9,Strong Manual Review Candidate,True,Research First,False,nan,"Parcel 38575-03-28-12560 at 2443 N VANDALIA AV E, Tulsa, has a bid cost of 3480.31 with complete address data, strong property clarity, and high overall data confidence. Rule-based scoring (6.9) classifies it as a Strong Manual Review Candidate. However, development verification shows No Clear Match with low confidence, so no verified development upside is counted.",ZIP is unknown; no verified nearby development or clear external value drivers; crime and surrounding value signals are unknown.,Exact ZIP code; surrounding property value context; crime risk; detailed property condition and improvements; confirmation of local market demand at this address.,"Manually confirm the precise ZIP and neighborhood context, then check local sales/assessed values and any municipal records for this lot and block to validate that the low bid cost aligns with acceptable risk and marketability.",High
40850-02-12-06130,6.9,Mid Investment,True,Watch,False,nan,"The property at 641 E 50 ST N (parcel 40850-02-12-06130) is a residential improvement (R IMP) with strong property clarity, complete address, and high data confidence. The bid cost of 3005.03 is flagged as a strong positive signal, and the rule-based system assigns a 6.9 score and labels it a Strong Manual Review Candidate. However, development verification shows No Clear Match with low confidence, so no external development upside is confirmed. Given the combination of low entry cost, solid data quality, and lack of verified development catalysts, it fits a Mid Investment profile that warrants deeper manual review rather than an automatic buy.","Unknown ZIP; no verified development match or surrounding value signal; crime risk and surrounding value are both unknown, limiting context for valuation and risk assessment.",Exact ZIP code; surrounding value indicators; crime risk estimate; any verified nearby development or infrastructure projects; detailed property condition and occupancy status.,"Manually confirm the precise ZIP and neighborhood context for 641 E 50 ST N, then pull local sales/assessed values and any known nearby projects to validate value and risk before bidding above the minimum.",High
34300-03-32-15230,6.9,Strong Manual Review Candidate,True,Research First,False,nan,"Parcel 34300-03-32-15230 at 135 N COLUMBIA AV E in Tulsa shows a bid cost of 3005.69 and a rule-based score of 6.9, driven by complete address quality and strong property clarity with high extraction/data confidence. However, the development match status is No Clear Match with low development confidence, so no verified development upside is included in the assessment.","ZIP is unknown; no verified development linkage (No Clear Match, low development confidence); surrounding value and crime risk are both unknown; geocode confidence is only Medium, which may affect precise location and comp analysis.","Exact ZIP code; surrounding property value context; crime/safety profile; detailed property characteristics (size, condition, zoning specifics); confirmation of precise geolocation and neighborhood quality.","Manually confirm the exact location and ZIP, pull local sales and rent comps around 135 N COLUMBIA AV E, verify zoning and property characteristics for LT 24 BLK 4, and check local market and crime data before deciding whether the 3005.69 bid level is attractive.",High
29675-03-07-09890,6.9,Strong Manual Review Candidate,True,Research First,False,nan,"Parcel 29675-03-07-09890 at 2017 E 49 ST N, Tulsa, OK has a bid cost of 3010.10 and is classified as R IMP with complete address and strong property clarity. Rule-based scoring (6.9) and high data confidence support it as a strong manual review candidate. However, development verification shows no clear match and low confidence, so no development premium is assumed.",ZIP is unknown; no verified nearby development or project tie-in; geocode confidence only medium; development upside not verified.,Exact ZIP code; more precise neighborhood and market context; confirmation of surrounding property values and crime risk; any known local development plans or infrastructure projects.,"Manually confirm the exact ZIP and neighborhood context for 2017 E 49 ST N, verify recent comparable values and basic risk indicators (including crime and vacancy), and check local planning or news sources for any unverified development or infrastructure activity near the parcel.",High
41025-02-01-06220,6.9,Mid Investment,True,Watch,False,nan,"The parcel at 5914 N ELGIN AV E, Tulsa (Parcel ID 41025-02-01-06220) has high extraction and data confidence, complete address quality, and strong property clarity, supporting the rule-based score of 6.9 and a Strong Manual Review Candidate classification. The bid cost of 3015.03 is flagged as a strong price signal, suggesting potentially favorable entry cost. However, the development verification shows no clear match and low confidence, so no development premium should be assumed. Overall, this supports a Mid Investment category that warrants deeper manual review rather than an automatic pass or buy.","ZIP is unknown, limiting precise location and comp analysis; development upside is not verified; surrounding value and crime risk are both unknown, increasing uncertainty around long-term value and exit potential.",Exact ZIP code; surrounding property value context; crime risk profile; any confirmed nearby development projects; detailed property condition and use specifics beyond the R IMP classification.,"Manually confirm the exact ZIP and neighborhood context for 5914 N ELGIN AV E, then pull surrounding sales/value indicators and basic condition information to validate whether the low bid cost of 3015.03 aligns with local market levels and risk.",High
34300-03-32-14790,6.9,Mid Investment,True,Watch,False,nan,"Parcel 34300-03-32-14790 at 124 N DELAWARE AV E, Tulsa, is a residential house (R HS IMP) with a low bid cost of 3029.62. Rule-based scoring (6.9) and category 'Strong Manual Review Candidate' indicate solid basic data: complete address, strong property clarity, medium geocode confidence, and high overall data confidence. However, the development verification shows no clear match and low confidence, so no confirmed external upside. This combination supports a mid-tier investment classification that warrants deeper manual review rather than an automatic buy.",ZIP is unknown; no verified development match or distance-based upside; surrounding value and crime risk are unknown; reliance on rule-based signals without corroborating market context.,Exact ZIP code; surrounding property value context; crime risk; physical condition of the house; occupancy status; title issues or liens beyond tax status; local zoning or code enforcement concerns.,"Manually confirm the precise location and ZIP, then pull local comparables and any available condition/occupancy data for 124 N DELAWARE AV E to validate that the low bid cost aligns with realistic resale or rental potential.",High
29775-02-26-04910,6.9,Strong Manual Review Candidate,True,Research First,False,nan,"Parcel 29775-02-26-04910 at 2220 N DENVER BV W has a low bid cost of 3047.69 and is tagged as R IMP with strong property clarity and complete address, but the development match status is No Clear Match with low confidence and overall data/extraction confidence is High, leading to a conservative score of 6.9 and a Strong Manual Review Candidate classification rather than a confirmed good investment.",ZIP is unknown; no verified development proximity or upside; only medium geocode confidence; surrounding value and crime risk are unknown.,Exact ZIP code; detailed surrounding market values; crime risk profile; property condition and occupancy; title issues or liens beyond tax status; zoning and allowable uses.,"Manually confirm the precise location and ZIP for 2220 N DENVER BV W, then pull local sales/assessed values and zoning/condition data to validate whether the low bid cost of 3047.69 aligns with realistic resale or rental potential.",High
41025-02-01-04500,6.9,Strong Manual Review Candidate,True,Research First,False,nan,"The parcel at 537 E 59 PL N, Tulsa (ID 41025-02-01-04500) has a bid cost of 3047.69, strong property clarity, complete address, and high overall data confidence, which together yield a rule-based score of 6.9 and classification as a Strong Manual Review Candidate. However, development matching shows no clear match and low confidence, so no external upside is verified.",ZIP is unknown; no verified development or area-upside signal; surrounding value and crime risk are unknown.,Exact ZIP code; surrounding property value context; crime/safety profile; physical condition of improvements; occupancy status; title and lien status beyond tax auction; local market rent/sale comps.,"Manually confirm the precise ZIP and neighborhood context, then pull local sales/rent comps and any available condition/occupancy data for 537 E 59 PL N to validate whether the low bid cost aligns with realistic resale or rental potential.",High
26725-02-25-17680,6.9,Strong Manual Review Candidate,True,Research First,False,nan,"The parcel at 412 E UTE ST N (Parcel 26725-02-25-17680) has a low bid cost of 3047.69, strong property clarity, complete address, and high overall data confidence, which together yield a rule-based score of 6.9 and justify manual review. However, the development verification shows No Clear Match with low confidence, and the ZIP is unknown, so there is no confirmed development catalyst and some location uncertainty.","ZIP unknown; no verified nearby development; surrounding value and crime risk are both unknown, increasing uncertainty about neighborhood quality and resale/rental potential.",Exact ZIP code; clearer neighborhood context and surrounding value; crime risk; any confirmed nearby development or infrastructure projects.,"Manually confirm the precise location and ZIP for 412 E UTE ST N, then check local market comps and neighborhood conditions to determine whether the low bid cost aligns with typical land or improvement values in that immediate area.",High
44200-02-11-04390,6.9,Strong Manual Review Candidate,True,Research First,False,nan,"Parcel 44200-02-11-04390 at 4696 N BOULDER AV W in Tulsa has high data confidence, complete address quality, and strong property clarity, supporting the rule-based score of 6.9 and a Strong Manual Review Candidate classification. The bid cost of 3075.02 is flagged as a strong signal, but the development verification shows No Clear Match with low confidence, so no development premium is applied. Overall, the property merits manual review but not automatic elevation based on development.","ZIP is unknown; development upside is not verified (No Clear Match, low confidence); surrounding value and crime risk are both unknown, increasing uncertainty around neighborhood context.",Exact ZIP code; surrounding property value context; crime risk; any confirmed nearby development projects or area improvements; on-the-ground condition and use details for this R IMP property.,"Manually confirm the precise location and ZIP for 4696 N BOULDER AV W, then pull surrounding sales/value and neighborhood risk indicators to validate whether the low bid cost of 3075.02 aligns with local market conditions before considering further investment analysis.",High
47700-02-26-09610,6.9,Mid Investment,True,Watch,False,nan,"Parcel 47700-02-26-09610 at 2525 N MAIN ST E in Tulsa has a low bid cost of 3082.54, strong property clarity (R HS IMP) and complete address data, and high overall data confidence. Rule-based scoring labels it a Strong Manual Review Candidate with a conservative score of 6.9. However, the development match is No Clear Match with low confidence and no distance-based confirmation, so no external project upside is verified. These factors support a Mid Investment classification that warrants deeper manual review rather than an automatic buy.","ZIP is unknown; no verified nearby development or project-based upside; geocode confidence only Medium; reliance on tax-auction data without confirmation of condition, title status, or surrounding values.",Exact ZIP code; confirmation of precise location and surroundings; current property condition; title and lien status beyond tax auction; local market value and rent/sale comps; crime and neighborhood risk indicators.,"Manually confirm the exact parcel location and ZIP via county GIS or assessor records, then pull recent sales/assessed values and any building/permit history for 2525 N MAIN ST E to validate that the low bid cost aligns with realistic resale or income potential.",High
36090-03-08-00970,6.9,Mid Investment,True,Watch,False,nan,"The parcel at 4721 N BIRMINGHAM PL E (Parcel 36090-03-08-00970) has high data confidence, complete address, and strong property clarity, with a relatively low bid cost of 3087.69. Rule-based scoring labels it a Strong Manual Review Candidate with a conservative score of 6.9. However, development verification shows no clear match and low confidence, so no development-driven upside is confirmed. This combination supports a mid investment classification that warrants manual review but not an automatic buy signal.","ZIP is unknown; no verified development match or surrounding value signal; crime risk and surrounding value are unknown; development confidence is low, so upside from nearby projects is unproven.",Exact ZIP code; surrounding value indicators; crime risk estimate; any confirmed nearby development or redevelopment plans; property condition and occupancy status.,"Manually confirm the precise ZIP and neighborhood context for 4721 N BIRMINGHAM PL E, then investigate local comps, crime and demand indicators, and any independent evidence of nearby development or infrastructure improvements before bidding.",High
34750-02-26-08160,6.9,Strong Manual Review Candidate,True,Research First,False,nan,"Parcel 34750-02-26-08160 at 2507 N MAIN ST E in Tulsa has a low bid cost of 3097.02 and strong property/address clarity, with overall data and extraction confidence rated High. However, the development match status is No Clear Match with low confidence, so no development upside is verified. Given the rule-based score of 6.9 and Medium geocode confidence, this is a Strong Manual Review Candidate rather than a confirmed good investment.","ZIP is unknown; development upside is not verified (No Clear Match, low confidence); surrounding value and crime risk are unknown.",Exact ZIP code; any verified nearby development or redevelopment plans; surrounding property value context; crime and neighborhood risk indicators; more detailed legal description/lot dimensions and current use condition.,"Manually confirm the full mailing/ZIP address and parcel boundaries with county records, then check local planning, zoning, and market data around 2507 N MAIN ST E to assess surrounding values and any real (but currently unverified) development or redevelopment activity.",High
19725-03-30-11560,6.9,Mid Investment,True,Watch,False,nan,"Parcel 19725-03-30-11560 at 1743 E YOUNG PL N, Tulsa, has high data confidence, complete address, and strong property clarity, with a relatively low bid cost of 3098.35. Rule-based scoring labels it a Strong Manual Review Candidate with a conservative score of 6.9. However, development verification shows No Clear Match and low confidence, so there is no confirmed development-driven upside. These mixed signals support a mid-level investment classification that warrants manual review but not an automatic buy.",ZIP is unknown; no verified development proximity or upside; geocode confidence only medium; surrounding value and crime risk are unknown.,Exact ZIP code; detailed neighborhood and surrounding value context; crime risk; property condition and occupancy status; any liens or title complications beyond tax status.,"Manually confirm the precise location and ZIP, then pull local comps and neighborhood data for 1743 E YOUNG PL N, and check county records for title, liens, and property condition before bidding.",High
78810-84-11-09860,6.9,Mid Investment,True,Watch,False,nan,"Parcel 78810-84-11-09860 at 514 E DALLAS ST S, Broken Arrow, shows a bid cost of 3103.20 and is classified as R HS IMP with strong property clarity and complete address, while the development match status is No Clear Match with low confidence and overall data/extraction confidence is High, resulting in a Strong Manual Review Candidate but not a confirmed good investment.","ZIP is unknown; no verified development upside (No Clear Match, low development confidence); surrounding value and crime risk are unknown; title, liens, and physical condition are unverified.",Exact ZIP code; surrounding property value context; crime/safety indicators; current market value and rent potential; title report and lien status; occupancy and physical condition details.,"Manually confirm the precise location and ZIP, pull county records for assessed value and any liens, and compare the 3103.20 bid cost to recent sales or assessed values for similar R HS IMP parcels on E DALLAS ST S in Broken Arrow to determine value coverage and risk.",High
23175-03-30-13610,6.9,Strong Manual Review Candidate,True,Research First,False,nan,"Parcel 23175-03-30-13610 at 2526 N QUAKER AV E, Tulsa, has a bid cost of 3115.02 and is classified as R IMP with strong property clarity, complete address, and high overall data confidence. Rule-based scoring (6.9) flags it as a Strong Manual Review Candidate. However, development verification shows no clear match and low confidence, so development cannot be treated as an upside factor.",Unknown ZIP; no verified development match; surrounding value signal unknown; crime risk unknown; owner name listed as Unknown.,Exact ZIP code; surrounding property value context; crime risk details; confirmation of current occupancy/condition; any nearby development or infrastructure projects not captured in the current data.,"Manually confirm the precise ZIP and neighborhood context for 2526 N QUAKER AV E, then pull surrounding sales/assessed values and any known local development or zoning changes to validate whether the 3115.02 bid cost is supported by area fundamentals.",High
90327-03-27-26880,6.9,Strong Manual Review Candidate,True,Research First,False,nan,"The parcel at 2011 N YALE AV E, Tulsa (ID 90327-03-27-26880) has a relatively low bid cost of 3120.35, complete address quality, strong property clarity, and high data confidence, which together yield a strong rule-based score of 6.9 and justify manual review. However, the development verification shows No Clear Match with low confidence and no distance-based confirmation, so development is not a positive factor. Overall, it fits as a Strong Manual Review Candidate rather than a confirmed good investment.",Unknown ZIP code; no verified nearby development or project tie-in; surrounding value and crime risk are both unknown; geocode confidence only medium.,Exact ZIP code; detailed property characteristics beyond type C IMP; surrounding property value context; crime/safety profile; any confirmed nearby development or infrastructure projects.,"Manually confirm the precise location and ZIP, then pull local property records and market comps around 2011 N YALE AV E to assess commercial viability and surrounding values before considering a bid at 3120.35.",High
25500-03-29-06000,6.9,Strong Manual Review Candidate,True,Research First,False,nan,"The parcel 25500-03-29-06000 at 1831 N BIRMINGHAM PL E, Tulsa, is a residential improvement (R IMP) with a relatively low bid cost of 3123.68. Rule-based scoring (6.9) and category Strong Manual Review Candidate reflect strong property clarity, complete address, and high data confidence. However, there is no clear matched development area, distance match is unverified, and ZIP is unknown, so potential upside is based only on the property itself, not on surrounding development.","ZIP unknown; no verified development match or distance-based upside; surrounding value and crime risk are unknown; owner listed as Unknown, which may complicate title or notification history.",Exact ZIP code; any comps or surrounding value indicators; crime risk data; confirmation of current physical condition of the residential improvement; verification of clear title and any liens beyond the tax obligation.,"Manually confirm parcel details with county records (including ZIP, structure details, and any additional liens), then review neighborhood-level value and risk indicators to determine whether the low bid cost of 3123.68 aligns with acceptable risk for this residential improvement.",High
53775-02-02-00220,6.9,Strong Manual Review Candidate,True,Research First,False,nan,"The parcel at 6105 N MAIN ST E (Parcel ID 53775-02-02-00220) has high data confidence, complete address quality, and strong property clarity, supporting the rule-based score of 6.9 and Strong Manual Review Candidate status. The bid cost of 3140.32 is flagged as a strong price signal, suggesting potential value if the asset and area check out. However, the development verification shows No Clear Match with low confidence, so no development-driven upside is confirmed.","ZIP is unknown, limiting precise location and comp analysis; no verified development linkage or nearby project-based upside; surrounding value and crime risk are both unknown.",Exact ZIP code; surrounding property value context; crime/safety profile; property condition and improvements detail beyond R HS IMP; any local zoning or planned development information not captured in the current data.,"Manually confirm the precise location and ZIP for 6105 N MAIN ST E, then pull local sales/assessed values and basic neighborhood risk indicators to validate whether the low bid cost aligns with area values before considering further investment analysis.",High
23125-02-25-15350,6.9,Strong Manual Review Candidate,True,Research First,False,nan,"Parcel 23125-02-25-15350 at 1864 N OWASSO AV E in Tulsa has a bid cost of 3140.35, high extraction/data confidence, complete address, and strong property clarity, which together yield a rule-based score of 6.9 and classification as a Strong Manual Review Candidate. However, the development match is 'No Clear Match' with low confidence and no distance-based confirmation, so development is not a positive factor. The unknown ZIP and unverified surrounding value/crime risk keep overall investment certainty below a Good Investment threshold.",ZIP is unknown; no verified development or surrounding value signal; crime risk estimate unknown; development geocoding/match not confirmed.,Exact ZIP code; neighborhood and surrounding value context; crime/safety profile; property condition and improvements detail beyond 'R IMP'; any local development or zoning information not captured in the current data.,"Manually confirm the full address including ZIP and pull local parcel records (assessor or GIS) to verify property characteristics, neighborhood context, and any nearby development or zoning changes before considering a bid at approximately 3140.35.",High
40800-02-13-04700,6.9,Mid Investment,True,Watch,False,nan,"Parcel 40800-02-13-04700 at 4309 N KENOSHA AV E shows a bid cost of 3142.35 and a rule-based score of 6.9, indicating a Strong Manual Review Candidate with clear residential improvement (R IMP) data and high extraction/data confidence. However, the development match status is No Clear Match with low development confidence, so no verified development upside is counted, and the unknown ZIP and unverified surrounding value keep this in a Mid Investment category pending deeper manual review.",ZIP is unknown; no verified development proximity or upside; surrounding value and crime risk are unknown; actual property condition and marketability are not documented.,Exact ZIP code; surrounding property value context; crime risk; physical condition of the improvement; occupancy status; title issues or liens beyond tax; resale or rental demand indicators.,"Manually confirm the precise ZIP and neighborhood context for 4309 N KENOSHA AV E, then pull local sales/rent comps and any available condition or code-enforcement data to validate whether the 3142.35 bid cost is supported by realistic resale or rental value.",High
