parcel_id,final_rule_based_score,final_rule_based_category,final_bid_price_signal,final_address_quality_signal,final_property_clarity_signal,final_verified_development_signal,final_surrounding_value_signal,final_crime_risk_estimate,final_data_confidence,final_manual_review_flag,final_rule_based_reasoning,final_key_risks,downgraded_from_previous_good
16050-93-06-08050,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3179.68, parcel_id 16050-93-06-08050, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
09725-03-30-08040,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3183.01, parcel_id 09725-03-30-08040, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
44200-02-14-06630,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3183.01, parcel_id 44200-02-14-06630, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
44250-02-12-14920,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3183.64, parcel_id 44250-02-12-14920, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
44200-02-11-03530,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3193.01, parcel_id 44200-02-11-03530, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
44225-02-12-09330,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3199.68, parcel_id 44225-02-12-09330, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
07725-02-13-02930,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3234.47, parcel_id 07725-02-13-02930, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
79200-84-14-04250,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3244.88, parcel_id 79200-84-14-04250, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
07675-02-13-01140,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3245.67, parcel_id 07675-02-13-01140, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
49650-03-34-13420,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3249.00, parcel_id 49650-03-34-13420, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
41025-02-01-06510,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3259.67, parcel_id 41025-02-01-06510, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
15500-03-32-04800,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3267.45, parcel_id 15500-03-32-04800, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
05825-03-30-01260,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3268.33, parcel_id 05825-03-30-01260, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
49700-03-34-14030,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3272.62, parcel_id 49700-03-34-14030, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
32325-92-24-04910,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3277.02, parcel_id 32325-92-24-04910, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
44200-02-11-01060,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3286.33, parcel_id 44200-02-11-01060, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
17675-02-24-07570,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3310.33, parcel_id 17675-02-24-07570, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
25500-03-29-06060,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3310.33, parcel_id 25500-03-29-06060, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
44200-02-11-03380,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3311.00, parcel_id 44200-02-11-03380, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
24275-93-06-15110,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3321.66, parcel_id 24275-93-06-15110, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
44250-02-12-15190,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3327.00, parcel_id 44250-02-12-15190, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
53825-02-02-01310,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3327.66, parcel_id 53825-02-02-01310, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
29650-03-07-03460,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3327.66, parcel_id 29650-03-07-03460, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
46465-92-11-31880,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3329.00, parcel_id 46465-92-11-31880, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
24200-03-28-04080,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3365.01, parcel_id 24200-03-28-04080, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
12175-92-03-02290,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3366.33, parcel_id 12175-92-03-02290, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
07675-02-13-01590,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3368.32, parcel_id 07675-02-13-01590, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
04550-03-32-02430,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3368.99, parcel_id 04550-03-32-02430, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
26250-92-05-02570,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3382.32, parcel_id 26250-92-05-02570, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
44225-02-12-10920,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3386.99, parcel_id 44225-02-12-10920, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
29625-02-36-21010,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3388.99, parcel_id 29625-02-36-21010, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
10450-03-19-50550,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3389.11, parcel_id 10450-03-19-50550, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
28025-93-11-08980,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3392.99, parcel_id 28025-93-11-08980, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
37650-02-12-04250,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3394.99, parcel_id 37650-02-12-04250, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
40825-02-13-08480,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3394.99, parcel_id 40825-02-13-08480, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
29675-03-07-09230,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3437.65, parcel_id 29675-03-07-09230, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
90201-02-01-25920,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3446.32, parcel_id 90201-02-01-25920, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
08450-03-29-03260,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3456.98, parcel_id 08450-03-29-03260, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
07675-02-13-01610,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3505.64, parcel_id 07675-02-13-01610, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
44200-02-11-02340,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3520.98, parcel_id 44200-02-11-02340, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
30125-03-28-10360,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3536.03, parcel_id 30125-03-28-10360, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
44200-02-11-02050,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3538.05, parcel_id 44200-02-11-02050, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
01800-03-35-01450,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3546.22, parcel_id 01800-03-35-01450, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
61475-91-11-02110,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3548.97, parcel_id 61475-91-11-02110, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
29650-03-07-06110,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3567.99, parcel_id 29650-03-07-06110, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
40850-02-12-06950,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3578.85, parcel_id 40850-02-12-06950, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
38605-92-05-04540,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3582.97, parcel_id 38605-92-05-04540, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
24200-03-28-06670,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3607.63, parcel_id 24200-03-28-06670, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
28975-03-28-09640,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3624.30, parcel_id 28975-03-28-09640, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
07675-02-13-01570,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3624.97, parcel_id 07675-02-13-01570, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
22025-03-35-07520,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3629.63, parcel_id 22025-03-35-07520, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
34750-02-26-08560,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3651.63, parcel_id 34750-02-26-08560, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
