parcel_id,ai_score,ai_category,recommendation,reasoning_summary,key_risks,missing_information,next_due_diligence_step,confidence_level
05425-02-25-04650,8.4,Top Candidate,Research First,"Bid cost 1623.72, property type R IMP, address 618 E XYLER ST N, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
31175-93-06-19520,8.4,Top Candidate,Research First,"Bid cost 1627.17, property type R IMP, address 1520 E 8 ST S, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
26925-02-26-02150,8.4,Top Candidate,Research First,"Bid cost 1635.06, property type R HS IMP, address 1624 N MARTIN LUTHER, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
33600-02-35-11090,8.4,Top Candidate,Research First,"Bid cost 1645.95, property type R IMP, address 1160 N BOSTON AV E, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
53725-02-01-03440,8.4,Top Candidate,Research First,"Bid cost 1646.05, property type R HS IMP, address 737 E 63 ST N, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
54375-02-01-07940,8.4,Top Candidate,Research First,"Bid cost 1647.83, property type R IMP, address 5934 N OWASSO AV E, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
11325-02-24-04990,8.4,Top Candidate,Research First,"Bid cost 1655.16, property type R IMP, address 418 E 28 ST N, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
26800-02-25-20510,8.4,Top Candidate,Research First,"Bid cost 1659.83, property type R IMP, address 224 E WOODROW ST N, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
13100-02-26-00290,8.4,Top Candidate,Research First,"Bid cost 1671.83, property type R IMP, address 1522 N CHEYENNE AV W, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
41025-02-01-06260,8.4,Top Candidate,Research First,"Bid cost 1675.57, property type R IMP, address 5816 N ELGIN AV E, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
10475-92-08-00580,8.4,Top Candidate,Research First,"Bid cost 1678.49, property type R IMP, address 5333 W 12 ST S, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
02000-02-23-00060,8.4,Top Candidate,Research First,"Bid cost 1689.16, property type R IMP, address 108 E 27 ST N, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
53825-02-02-01690,8.4,Top Candidate,Research First,"Bid cost 1693.83, property type R IMP, address 6369 N BOULDER AV W, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
13775-02-12-00780,8.4,Top Candidate,Research First,"Bid cost 1697.16, property type R IMP, address 4946 N JOHNSTOWN AV E, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
34325-03-32-16040,8.4,Top Candidate,Research First,"Bid cost 1697.16, property type R IMP, address 721 N COLUMBIA AV E, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
40825-02-13-08310,8.4,Top Candidate,Research First,"Bid cost 1697.16, property type R IMP, address 4337 N GARRISON AV E, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
11325-02-24-05340,8.4,Top Candidate,Research First,"Bid cost 1697.31, property type R IMP, address 343 E 27 CT N, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
11300-02-24-04840,8.4,Top Candidate,Research First,"Bid cost 1697.83, property type R IMP, address 538 E 27 CT N, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
24675-03-31-13270,8.4,Top Candidate,Research First,"Bid cost 1697.83, property type R IMP, address 1404 N ST LOUIS AV E, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
44250-02-12-14160,8.4,Top Candidate,Research First,"Bid cost 1697.83, property type R IMP, address 5419 N HARTFORD AV E, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
44250-02-12-16300,8.4,Top Candidate,Research First,"Bid cost 1697.83, property type R IMP, address 253 E 55 ST N, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
10275-92-02-00760,8.1,Manual Review Candidate,Drive By,"Bid cost 1702.49, property type R IMP, address 317 S PHOENIX AV W, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
25225-03-35-09930,8.1,Manual Review Candidate,Drive By,"Bid cost 1713.76, property type R HS IMP, address 7845 E KING ST N, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
56925-92-20-02770,8.1,Manual Review Candidate,Drive By,"Bid cost 1716.68, property type R HS IMP, address 3930 S 61 AV W, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
21825-03-17-03140,8.1,Manual Review Candidate,Drive By,"Bid cost 1727.25, property type R IMP, address 2857 E 42 PL N, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
31175-93-06-19415,8.1,Manual Review Candidate,Drive By,"Bid cost 1750.49, property type R IMP, address 710 S ST LOUIS AV E, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
54975-91-10-00980,8.1,Manual Review Candidate,Drive By,"Bid cost 1752.87, property type R IMP, address 821 W LONG ST S, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
21850-03-17-04300,8.1,Manual Review Candidate,Drive By,"Bid cost 1757.15, property type R IMP, address 2840 E 45 PL N, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
13850-93-05-10570,8.1,Manual Review Candidate,Drive By,"Bid cost 1759.82, property type R IMP, address 2621 E ADMIRAL CT N, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
55025-92-07-02380,8.1,Manual Review Candidate,Drive By,"Bid cost 1764.57, property type R IMP, address 7725 W 18 ST S, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
40850-02-12-07900,8.1,Manual Review Candidate,Drive By,"Bid cost 1771.82, property type R IMP, address 517 E 47 PL N, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
40250-03-31-15190,8.1,Manual Review Candidate,Drive By,"Bid cost 1778.61, property type R IMP, address 2143 E NEWTON ST N, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
16250-92-05-00370,8.1,Manual Review Candidate,Drive By,"Bid cost 1782.48, property type R IMP, address 409 S 54 AV W, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
44675-92-08-04450,8.1,Manual Review Candidate,Drive By,"Bid cost 1783.15, property type R IMP, address 5128 W CHARLES PAGE, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
29650-03-07-05300,8.1,Manual Review Candidate,Drive By,"Bid cost 1807.15, property type R IMP, address 1376 E 51 PL N, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
54375-02-01-08800,8.1,Manual Review Candidate,Drive By,"Bid cost 1808.47, property type R IMP, address 6042 N MADISON AV E, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
44225-02-12-11500,8.1,Manual Review Candidate,Drive By,"Bid cost 1824.48, property type R IMP, address 205 E 53 ST N, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
13125-02-25-08280,8.1,Manual Review Candidate,Drive By,"Bid cost 1825.15, property type R IMP, address 2522 N OWASSO AV E, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
