parcel_id,ai_area_adjusted_score,ai_area_adjusted_category,recommendation,reasoning_summary,crime_economic_summary,key_risks,missing_information,next_due_diligence_step,confidence_level
40875-02-13-11530,6.98,Manual Review Candidate,Drive By,Bid cost 1184.93 for parcel 40875-02-13-11530 at 210 E 44 ST N stays in Manual Review Candidate because crime risk is High and median household income 38750.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is Medium with High confidence.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High
37225-93-16-14530,6.92,Manual Review Candidate,Drive By,Bid cost 1437.18 for parcel 37225-93-16-14530 at 4021 E 28 ST S stays in Manual Review Candidate because crime risk is High and median household income 75078.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is Low with High confidence.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High
25800-03-32-09470,6.9,Manual Review Candidate,Drive By,Bid cost 1026.56 for parcel 25800-03-32-09470 at 1434 N EVANSTON AV E stays in Manual Review Candidate because crime risk is High and median household income 44820.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is Medium with High confidence.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High
26725-02-25-16640,6.9,Manual Review Candidate,Drive By,Bid cost 1216.55 for parcel 26725-02-25-16640 at 515 E UTE ST N stays in Manual Review Candidate because crime risk is High and median household income 39063.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is Medium with High confidence.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High
29650-03-07-03650,6.89,Manual Review Candidate,Drive By,Bid cost 1001.89 for parcel 29650-03-07-03650 at 1355 E 53 ST N stays in Manual Review Candidate because crime risk is High and median household income 43000.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is Medium with High confidence.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High
29650-03-07-06380,6.89,Manual Review Candidate,Drive By,Bid cost 1257.12 for parcel 29650-03-07-06380 at 4936 N ST LOUIS AV E stays in Manual Review Candidate because crime risk is High and median household income 43000.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is Medium with High confidence.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High
55625-92-06-02420,6.88,Manual Review Candidate,Drive By,Bid cost 1072.22 for parcel 55625-92-06-02420 at 215 S 71 AV W stays in Manual Review Candidate because crime risk is High and median household income 70192.0; fallback confidence is Medium.,Crime signal is High with Low confidence. Economic risk is Low with High confidence.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",Medium
52500-03-06-00190,6.88,Manual Review Candidate,Drive By,Bid cost 1326.96 for parcel 52500-03-06-00190 at 2307 E 56 ST N stays in Manual Review Candidate because crime risk is High and median household income 46534.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is Medium with High confidence.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High
40800-02-13-06680,6.4,Manual Review Candidate,Drive By,"The parcel at 4213 N IROQUOIS AV E in Tulsa has strong data clarity (property clarity 10.0, good geocode) and appears residential (R IMP) at a low bid cost of 1416.75, which fits the $1,000–$1,500 target. However, the area is flagged as high crime risk based on a low-confidence, city-level proxy for Tulsa, and the tract-level economics show modest median income (~$38.7k), relatively low home values (~$76.3k), and a fairly high vacancy rate (16.7%). These factors suggest a weaker neighborhood with elevated risk and limited value upside, but not so poor as to automatically discard. Overall, the property is suitable for manual review but not strong enough on area quality and risk to be a clear Top 50 candidate at this stage.","Crime: City-level proxy for Tulsa indicates high crime risk (Crime Risk Score 1.7, city reportedly safer than only about 2% of U.S. cities, violent-crime odds ~1 in 107, property-crime odds ~1 in 22). This is not parcel-specific and is low-confidence, but it still signals a generally high-crime environment. Economics: The census tract has a median household income of about 38,750, a poverty rate of 25.97%, and unemployment of 7.33%, all pointing to economic stress. Median home value is low at about 76,300, with median gross rent around 1,129 and a vacancy rate of 16.7%. Owner-occupancy is moderate at 60.33%. Overall, the tract is economically weaker but not the worst, with medium risk and high-confidence data.","1) High crime environment based on city-level data, with no parcel-level incident counts to refine risk. 2) Economically stressed tract: relatively low incomes, high poverty, and elevated unemployment may limit appreciation and tenant quality. 3) High vacancy rate (16.7%) suggests potential difficulty maintaining occupancy or neighborhood stability. 4) Very low median home value (~76k) may cap resale potential and limit margin even at a low bid price. 5) Owner name is unknown and property condition is completely unverified, which is critical for an improved residential parcel (R IMP).","1) No parcel-level or 0.5-mile crime incident data; only a coarse city-level proxy. 2) No information on structure type, size, year built, or current physical condition. 3) No confirmation of current occupancy status (vacant vs. occupied). 4) No data on code violations, liens beyond the tax issue, or demolition/condemnation history. 5) No recent sales comps or rent comps specific to this block or immediate area.","Obtain parcel-specific information: verify current structure condition and occupancy (drive-by photos or local contact), check Tulsa city records for code violations or condemnation, and pull very local sales and rent comps around 4213 N IROQUOIS AV E to see if the low bid cost aligns with realistic resale or rental values in this high-crime, lower-value tract.",Medium
40875-02-13-11410,6.4,Manual Review Candidate,Drive By,"The property at 257 E 43 ST N, Tulsa (confirmed ZIP 74106) has strong data clarity and high residential likelihood, and the bid cost of 1445.45 is aligned with the target range. However, the area shows high crime risk based on a low-confidence city-level proxy and only moderate economic strength (low median home value and relatively high poverty). These factors prevent it from being a clear Top Candidate, but the low acquisition cost and solid data quality justify keeping it as a Manual Review Candidate rather than discarding it outright.","Crime: City-level proxy for Tulsa indicates high crime risk (Crime Risk Score 1.7, city reportedly safer than only about 2% of U.S. cities, with violent-crime odds around 1 in 107 and property-crime odds around 1 in 22). This is not parcel- or neighborhood-specific and is low-confidence, but it still flags elevated risk. Economics: Census tract 8002 shows medium economic strength with median household income of 38,750, poverty rate about 25.97%, unemployment about 7.33%, and median home value around 76,300. Owner-occupancy is relatively solid at about 60.33%, but vacancy is elevated at about 16.7%. Overall, the tract suggests a lower-value, working-class area with meaningful economic stress but not extreme distress.","1) High crime risk based on city-level data for Tulsa, with no reliable parcel-level or 0.5-mile incident counts. 2) Economic indicators show relatively low home values, elevated poverty, and higher unemployment, which may limit appreciation and tenant quality. 3) Elevated vacancy rate in the tract could signal weaker housing demand or neighborhood instability. 4) Owner name is unknown in the dataset, which may complicate title and redemption research. 5) Lack of detailed property condition, structure type, and occupancy status introduces significant asset-level uncertainty at auction.","1) No parcel-specific or neighborhood-level crime incident data; only a city-level proxy is available. 2) No information on building size, year built, current condition, code violations, or occupancy. 3) No confirmation of utilities, zoning specifics beyond generic R IMP type, or any liens beyond the tax issue. 4) No recent sales comps or rent comps for this specific block or immediate surroundings. 5) No confirmation of exact ZIP in county records beyond the provided 74106 tag.","Pull parcel-level records from Tulsa County (assessor and treasurer) to confirm owner of record, structure details, and any additional liens; then obtain recent street-level imagery or an in-person drive-by for 257 E 43 ST N to assess property condition and block quality, followed by checking local police or open-data portals for neighborhood-specific crime patterns around the parcel.",Medium
90212-02-12-26700,6.82,Manual Review Candidate,Drive By,Bid cost 1317.38 for parcel 90212-02-12-26700 at 1118 E 50 PL N stays in Manual Review Candidate because crime risk is High and median household income 40233.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is High with High confidence.,Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High
18725-92-27-12650,6.77,Manual Review Candidate,Drive By,Bid cost 1071.89 for parcel 18725-92-27-12650 at 4532 S VANCOUVER AV W stays in Manual Review Candidate because crime risk is High and median household income 53495.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is Medium with High confidence.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High
22175-92-08-02140,6.77,Manual Review Candidate,Drive By,Bid cost 1229.87 for parcel 22175-92-08-02140 at 6037 W 9 ST S stays in Manual Review Candidate because crime risk is High and median household income 44231.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is High with High confidence.,Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High
05400-02-25-04330,6.76,Manual Review Candidate,Drive By,Bid cost 1418.58 for parcel 05400-02-25-04330 at 524 E YOUNG ST N stays in Manual Review Candidate because crime risk is High and median household income 39063.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is Medium with High confidence.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High
34425-02-25-22000,6.76,Manual Review Candidate,Drive By,Bid cost 1429.85 for parcel 34425-02-25-22000 at 2120 N FRANKFORT PL E stays in Manual Review Candidate because crime risk is High and median household income 39063.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is Medium with High confidence.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High
54375-02-01-07920,6.0,Manual Review Candidate,Drive By,"The parcel at 5942 N OWASSO AV E with a bid cost of 1077.89 has strong property data clarity and high-confidence geocoding in a residential tract, which supports basic viability. However, the area shows high crime risk (even though based on low-confidence city-level proxy data) and clearly weak economic fundamentals at the tract level (low median home value around 54k, high poverty at ~38%, high unemployment at ~13%, and high vacancy near 19%). These factors materially limit upside and increase holding and tenant risk. Given the low price point, it may still be worth a closer look, but the area profile is not strong enough to justify automatic Top 50 status without further verification of property condition and block-level stability.","Crime: City-level proxy for Tulsa indicates high crime risk (crime risk score 1.7, Tulsa reportedly safer than only about 2% of U.S. cities, violent-crime odds ~1 in 107, property-crime odds ~1 in 22). This is low-confidence and not parcel-specific, but it still flags elevated safety and vandalism risk. Economics: Tract-level ACS data show median household income of about 41,493 with a high poverty rate of 38.46% and unemployment at 13.33%, indicating a financially stressed area. Median home value is very low at about 54,200, suggesting limited appreciation potential and a low-value housing stock. Vacancy is high at 19.13%, which raises concerns about blight and difficulty maintaining occupancy, though owner-occupancy is relatively solid at 61.25%. Overall, the economic context is clearly high risk and likely to constrain both exit value and rent quality.","1) High crime risk based on city-level proxy data for Tulsa, with low confidence but still a strong negative signal for safety, vandalism, and tenant quality. 2) Weak economic context: low median home value (~54k), high poverty (~38%), high unemployment (~13%), and high vacancy (~19%) all point to a distressed neighborhood with limited appreciation and potentially unstable rent rolls. 3) Area-level risk concentration: the tract-level indicators suggest systemic neighborhood challenges rather than an isolated weak block. 4) Unknown current property condition and structure type beyond the generic R IMP classification, which could turn a low bid into a money pit if major rehab or demolition is needed. 5) Owner name and some address fields are unknown, which may signal record-keeping issues or complicate background research, even though the parcel and location are clearly identified.","1) No parcel-specific or 0.5-mile crime incident data; only a city-level proxy for Tulsa is available. 2) No detailed property condition data (age, square footage, current occupancy, interior/exterior condition, code violations, or demolition orders). 3) No confirmation of utilities status (water, sewer, electric, gas) or any liens beyond the tax issue. 4) No recent sales comps or rent comps for this specific block or immediate surroundings. 5) No visual confirmation (photos or street-view) of the structure, neighboring properties, or signs of blight or active rehabs.","Pull recent street-view or on-the-ground photos for 5942 N OWASSO AV E and the surrounding block to verify that the structure is standing, not obviously condemned, and that the immediate neighbors are not heavily blighted. If the physical and block conditions look acceptable, then obtain local comps (sales and rents) and check city records for code violations or demolition orders before considering it for a Top 50 slot.",Medium
38950-03-27-10040,6.4,Manual Review Candidate,Drive By,"Parcel 38950-03-27-10040 at 1715 N MAPLEWOOD AV E in Tulsa has solid data quality (high property clarity and geocoding scores) and a low bid cost of 1065.22, which is attractive relative to the tract’s low median home value of 50,900. The tract-level economics are modest but not catastrophic: median household income is 34,850 with a relatively high poverty rate of 28.05%, yet owner-occupancy is fairly strong at 68.21%, suggesting a stable, lower-income neighborhood rather than a fully transient area. However, the only crime information is a high-risk, low-confidence city-level proxy for Tulsa (crime risk score 1.7, city safer than only about 2% of U.S. cities), which materially increases uncertainty about this specific parcel’s safety profile. Given the combination of low acquisition cost, acceptable economic context, and high but poorly resolved crime risk, this property is worth manual review but not an automatic Top 50 pick.","Crime: The available crime data for 1715 N MAPLEWOOD AV E is a low-confidence, city-level proxy for Tulsa with a high crime risk level (score 1.7). NeighborhoodScout reported violent-crime victimization odds of about 1 in 107 and property-crime odds of about 1 in 22, and Tulsa was described as safer than only 2% of U.S. cities, but these figures are not parcel- or tract-specific. Economics: In Census Tract 11300, median household income is 34,850 with a poverty rate of 28.05% and unemployment of 5.87%. Median home value is 50,900 and median gross rent is 1,038, with a vacancy rate of 11.99% and a relatively high owner-occupied rate of 68.21%. Overall economic risk is classified as Medium with high confidence, indicating a lower-income but somewhat stable residential area that could support basic occupancy if crime is not extreme at the micro level.","1) Crime uncertainty: Only city-level crime data is available, and it flags Tulsa as high risk; without parcel- or block-level incident data, the true safety profile around 1715 N MAPLEWOOD AV E is unclear. 2) Socioeconomic stress: The tract has a high poverty rate (28.05%) and low median household income (34,850), which can correlate with higher local crime and weaker tenant quality. 3) Market depth: The low median home value (50,900) suggests limited resale upside and a thin buyer pool, which may constrain exit strategies. 4) Data gaps: No parcel-specific condition, structure details, or current occupancy information are provided, so the physical risk (demolition, severe disrepair, or non-buildable issues) is unknown. 5) Legal/ownership opacity: Owner name is listed as Unknown, which may signal title complexity or outdated records that need verification before bidding.","Missing or unknown items include: (a) parcel-level and block-level crime incidents within 0.5 miles; (b) current structure details (year built, square footage, number of units, current condition, and whether any structures exist); (c) current occupancy status and any visible signs of abandonment or code violations; (d) detailed title history, liens, and any municipal liens or special assessments; (e) confirmation of utilities, zoning specifics beyond the generic residential type, and any demolition or nuisance orders; (f) precise ZIP in the county records (only the confirmed ZIP 74115 is provided via external confirmation, not the original record).","Prior to considering this property for a Top 50 list, obtain parcel-specific crime and nuisance data (police calls, code violations) for the immediate area around 1715 N MAPLEWOOD AV E, verify title status and any liens for parcel 38950-03-27-10040, and conduct a visual or street-level review (in person or via recent imagery) to confirm that a usable residential structure exists and to assess condition relative to the 1,065.22 bid cost and the tract’s median home value of 50,900.",Medium
44250-02-12-15060,6.3,Manual Review Candidate,Drive By,"The parcel at 618 E 55 ST N in Tulsa (ZIP 74126) has strong data clarity (property clarity 10.0, geocoding 9.0, residential likelihood 8.5) and a low entry bid of 1443.18, which supports inclusion in a screened list. However, the area-level signals are negative: the city-level crime proxy is high risk and the tract-level economic indicators show low median home value (~70,700), relatively low median household income (~40,233), high poverty (32.25%), high vacancy (28.13%), and only moderate owner-occupancy (53.83%). Because the crime data is only a low-confidence city-level proxy, the risk is real but not precisely localized to this parcel. Overall, the property remains a Manual Review Candidate rather than a clear Top Candidate, but it is not so weak that it should be automatically excluded from a Top 50 short list in this price band.","Crime: The only available crime data is a low-confidence, city-level proxy for Tulsa with a high crime risk score of 1.7. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107 and property-crime odds of about 1 in 22, and noted Tulsa is safer than only about 2% of U.S. cities, with an overall crime rate of about 45.0 per 1,000 residents. This suggests a generally high-crime environment, but it is not parcel- or neighborhood-specific. Economics: The census tract (7900) around 618 E 55 ST N shows weak fundamentals: median household income of about 40,233, poverty rate of 32.25%, unemployment of 8.24%, median home value around 70,700, median gross rent about 1,139, vacancy rate 28.13%, and owner-occupied rate 53.83%. The economic risk level is classified as High with high confidence. These indicators point to a financially stressed area with elevated vacancy and modest property values, which may limit appreciation potential but could support lower-cost acquisitions.","1) High crime proxy at the city level for Tulsa, with limited parcel-specific data, implies elevated safety and property-crime concerns near 618 E 55 ST N. 2) Weak economic context in Census Tract 7900: high poverty (32.25%), high unemployment (8.24%), and high vacancy (28.13%) increase risk of unstable tenancy, slower resale, and potential blight. 3) Low median home value (~70,700) suggests limited upside and possible cap on resale or refinance value. 4) Crime data is low-confidence and city-wide, so actual local risk could be better or worse than indicated, adding uncertainty. 5) Owner-occupancy is only moderate (53.83%), which may correlate with more transient residents and less neighborhood stability.","1) No parcel-level or 0.5-mile crime incident counts; only a city-level proxy is available. 2) No detailed property condition, structure type, square footage, year built, or interior/exterior status beyond generic type R IMP. 3) No confirmation of current occupancy, code violations, or nuisance/abatement history. 4) No recent sales comps or rent comps specific to this block or immediate micro-area. 5) No tax/utility lien details beyond the auction context and bid cost.","Obtain parcel-specific and block-level information before ranking this property firmly in a Top 50 list: (a) pull local police or open-data incident reports within roughly a 0.25–0.5 mile radius of 618 E 55 ST N to validate whether crime around this parcel matches or exceeds the city-level high-risk profile; (b) verify physical condition and occupancy via recent street-level imagery or an in-person drive-by, checking for boarded windows, structural damage, or signs of abandonment; (c) confirm zoning and any code enforcement or nuisance cases tied to Parcel 44250-02-12-15060; and (d) gather hyperlocal sales and rent comps in ZIP 74126 and specifically near Census Tract 7900 to see if the low acquisition price of 1443.18 aligns with realistic resale or rental potential in this micro-market.",Medium
18650-93-06-13240,6.69,Manual Review Candidate,Drive By,Bid cost 1261.20 for parcel 18650-93-06-13240 at 628 S YORKTOWN AV E stays in Manual Review Candidate because crime risk is High and median household income 34417.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is High with High confidence.,Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High
