parcel_id,ai_score,ai_tier,recommendation,bid_strategy_note,reasoning_summary,crime_economic_summary,key_risks,missing_information,next_due_diligence_step,confidence_level
44200-02-11-03380,6.69,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 3311.00 for parcel 44200-02-11-03380 at 4627 N BOSTON AV E falls into Tier 2 Strong Review because crime risk is Unknown and economic risk is High; confidence level is Medium due to fallback or missing data.,Crime risk is Unknown with Medium confidence. Economic risk is High with High confidence.,weak economic context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium
25375-03-29-05240,6.63,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 3313.80 for parcel 25375-03-29-05240 at 3215 E XYLER ST N falls into Tier 2 Strong Review because crime risk is Unknown and economic risk is High; confidence level is Medium due to fallback or missing data.,Crime risk is Unknown with Medium confidence. Economic risk is High with High confidence.,weak economic context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium
44250-02-12-15190,6.76,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 3327.00 for parcel 44250-02-12-15190 at 549 E 54 PL N falls into Tier 2 Strong Review because crime risk is Unknown and economic risk is High; confidence level is Medium due to fallback or missing data.,Crime risk is Unknown with Medium confidence. Economic risk is High with High confidence.,weak economic context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium
46465-92-11-31880,6.69,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 3329.00 for parcel 46465-92-11-31880 at 2034 S PHOENIX AV W falls into Tier 2 Strong Review because crime risk is Unknown and economic risk is Medium; confidence level is Medium due to fallback or missing data.,Crime risk is Unknown with Medium confidence. Economic risk is Medium with High confidence.,No major red flags beyond normal tax-auction uncertainty.,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium
47175-03-29-18430,6.44,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 1549.17 for parcel 47175-03-29-18430 at 1903 N FLORENCE PL E falls into Tier 2 Strong Review because crime risk is High and economic risk is High; confidence level is Medium due to fallback or missing data.,Crime risk is High with Low confidence. Economic risk is High with High confidence.,high crime context; weak economic context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium
38675-93-10-06110,6.92,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 1603.63 for parcel 38675-93-10-06110 at 1321 S DARLINGTON AV E falls into Tier 2 Strong Review because crime risk is High and economic risk is Low; confidence level is Medium due to fallback or missing data.,Crime risk is High with Low confidence. Economic risk is Low with High confidence.,high crime context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium
40250-03-31-14910,6.5,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 1613.17 for parcel 40250-03-31-14910 at 1945 E NEWTON ST N falls into Tier 2 Strong Review because crime risk is High and economic risk is High; confidence level is Medium due to fallback or missing data.,Crime risk is High with Low confidence. Economic risk is High with High confidence.,high crime context; weak economic context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium
40825-02-13-08310,6.55,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 1697.16 for parcel 40825-02-13-08310 at 4337 N GARRISON AV E falls into Tier 2 Strong Review because crime risk is High and economic risk is Medium; confidence level is Medium due to fallback or missing data.,Crime risk is High with Low confidence. Economic risk is Medium with High confidence.,high crime context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium
24675-03-31-13270,6.7,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 1697.83 for parcel 24675-03-31-13270 at 1404 N ST LOUIS AV E falls into Tier 2 Strong Review because crime risk is High and economic risk is Medium; confidence level is Medium due to fallback or missing data.,Crime risk is High with Low confidence. Economic risk is Medium with High confidence.,high crime context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium
40850-02-12-07900,6.52,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 1771.82 for parcel 40850-02-12-07900 at 517 E 47 PL N falls into Tier 2 Strong Review because crime risk is High and economic risk is High; confidence level is Medium due to fallback or missing data.,Crime risk is High with Low confidence. Economic risk is High with High confidence.,high crime context; weak economic context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium
40250-03-31-15190,6.46,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 1778.61 for parcel 40250-03-31-15190 at 2143 E NEWTON ST N falls into Tier 2 Strong Review because crime risk is High and economic risk is High; confidence level is Medium due to fallback or missing data.,Crime risk is High with Low confidence. Economic risk is High with High confidence.,high crime context; weak economic context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium
44675-92-08-04450,6.26,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 1783.15 for parcel 44675-92-08-04450 at 5128 W CHARLES PAGE falls into Tier 2 Strong Review because crime risk is High and economic risk is High; confidence level is Medium due to fallback or missing data.,Crime risk is High with Low confidence. Economic risk is High with High confidence.,high crime context; weak economic context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium
24925-02-36-17420,7.04,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 1199.79 for parcel 24925-02-36-17420 at 1084 N NORFOLK AV E falls into Tier 2 Strong Review because crime risk is High and economic risk is Medium; confidence level is Medium due to fallback or missing data.,Crime risk is High with Medium confidence. Economic risk is Medium with High confidence.,high crime context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium
40875-02-13-11530,6.89,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 1184.93 for parcel 40875-02-13-11530 at 210 E 44 ST N falls into Tier 2 Strong Review because crime risk is High and economic risk is Medium; confidence level is Medium due to fallback or missing data.,Crime risk is High with Medium confidence. Economic risk is Medium with High confidence.,high crime context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium
26725-02-25-16640,6.83,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 1216.55 for parcel 26725-02-25-16640 at 515 E UTE ST N falls into Tier 2 Strong Review because crime risk is High and economic risk is Medium; confidence level is Medium due to fallback or missing data.,Crime risk is High with Medium confidence. Economic risk is Medium with High confidence.,high crime context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium
05400-02-25-04330,6.78,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 1418.58 for parcel 05400-02-25-04330 at 524 E YOUNG ST N falls into Tier 2 Strong Review because crime risk is High and economic risk is Medium; confidence level is Medium due to fallback or missing data.,Crime risk is High with Medium confidence. Economic risk is Medium with High confidence.,high crime context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium
41025-02-01-04710,6.65,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 1273.20 for parcel 41025-02-01-04710 at 5901 N GARRISON PL E falls into Tier 2 Strong Review because crime risk is High and economic risk is High; confidence level is Medium due to fallback or missing data.,Crime risk is High with Medium confidence. Economic risk is High with High confidence.,high crime context; weak economic context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium
41025-02-01-05430,6.72,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 1273.20 for parcel 41025-02-01-05430 at 522 E 59 ST N falls into Tier 2 Strong Review because crime risk is High and economic risk is High; confidence level is Medium due to fallback or missing data.,Crime risk is High with Medium confidence. Economic risk is High with High confidence.,high crime context; weak economic context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium
43300-03-29-09940,6.59,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 1179.88 for parcel 43300-03-29-09940 at 2311 N ATLANTA AV E falls into Tier 2 Strong Review because crime risk is High and economic risk is High; confidence level is Medium due to fallback or missing data.,Crime risk is High with Medium confidence. Economic risk is High with High confidence.,high crime context; weak economic context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium
05850-03-30-04070,6.47,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 1297.53 for parcel 05850-03-30-04070 at 1844 N TRENTON AV E falls into Tier 2 Strong Review because crime risk is High and economic risk is High; confidence level is Medium due to fallback or missing data.,Crime risk is High with Medium confidence. Economic risk is High with High confidence.,high crime context; weak economic context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium
01875-03-19-00200,7.04,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 962.57 for parcel 01875-03-19-00200 at 2612 N TRENTON AV E falls into Tier 2 Strong Review because crime risk is High and economic risk is Medium; confidence level is Medium due to fallback or missing data.,Crime risk is High with Medium confidence. Economic risk is Medium with High confidence.,high crime context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium
44675-92-08-04460,6.65,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 907.78 for parcel 44675-92-08-04460 at 5134 W CHARLES PAGE falls into Tier 2 Strong Review because crime risk is High and economic risk is High; confidence level is Medium due to fallback or missing data.,Crime risk is High with Medium confidence. Economic risk is High with High confidence.,high crime context; weak economic context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium
